nhl_id,name,team,positions,match_method
8478421,"A.J. Greer",ANA,LW,exact
8477932,"Aaron Ekblad",FLA,D,exact
8482691,"Aatu Raty",VAN,C,exact
8484166,"Adam Fantilli",CBJ,C,exact
8479323,"Adam Fox",NYR,D,exact
8478874,"Adam Gaudette",SJ,C|RW,exact
8474641,"Adam Henrique",EDM,C,exact
8483609,"Adam Klapka",CGY,RW,exact
8476457,"Adam Larsson",SEA,D,exact
8476392,"Adam Lowry",WPG,C,exact
8476917,"Adam Pelech",NYI,D,exact
8477960,"Adrian Kempe",LA,RW,exact
8477493,"Aleksander Barkov",FLA,C,exact
8479337,"Alex DeBrincat",DET,LW|RW,exact
8480113,"Alex Iafallo",WPG,LW|RW,exact
8473986,"Alex Killorn",ANA,LW|RW,exact
8482155,"Alex Laferriere",LA,C|LW|RW,exact
8481618,"Alex Newhook",MTL,C|LW,exact
8471214,"Alex Ovechkin",WSH,LW|RW,exact
8477949,"Alex Tuch",WSH,LW|RW,exact
8481568,"Alex Vlasic",CHI,D,exact
8482100,"Alexander Nikishin",CAR,D,exact
8481014,"Alexander Romanov",NYI,D,exact
8477505,"Alexander Wennberg",SJ,C,exact
8478851,"Alexandre Carrier",MTL,D,exact
8482109,"Alexis Lafreniere",NYR,LW|RW,exact
8481656,"Aliaksei Protas",WSH,LW|RW,exact
8475314,"Anders Lee",UTA,LW,exact
8480830,"Andrei Svechnikov",CAR,LW|RW,exact
8477429,"Andrew Copp",DET,C|LW,exact
8479369,"Andrew Peeke",UTA,D,exact
8478463,"Anthony Beauvillier",WSH,LW,exact
8478519,"Anthony Cirelli",TB,C,exact
8477511,"Anthony Mantha",NJ,LW|RW,exact
8485391,"Anton Frondell",CHI,C,exact
8482113,"Anton Lundell",FLA,C,exact
8481721,"Arseny Gritsyuk",NJ,LW|RW,exact
8482245,"Artem Zub",OTT,D,exact
8478550,"Artemi Panarin",LA,LW,exact
8477476,"Artturi Lehkonen",COL,LW|RW,exact
8484783,"Artyom Levshunov",CHI,D,exact
8479318,"Auston Matthews",TOR,C,exact
8480849,"Barrett Hayton",UTA,C,exact
